% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	4.22113e-11	88989.2
0.0282143	1	2	2	0.000328732	75616.3
0.0142143	1	1	0	0.00333333	7.02728e+12
0.00121429	1	1	0	4.22113e-11	88989.2
0.0302143	1	1	1	1.35925e-07	5.55702
0.0522143	1	1	1	0.00333333	7.02728e+12
0.0142143	2	2	0	0.00333333	7.02728e+12
0.0282143	1	3	3	0.0114831	6.44455e+06
0.00221428	1	1	0	4.22113e-11	88989.2
0.0282143	2	4	2	0.00829722	803484
0.0152143	1	1	0	0.00333333	7.02728e+12
0.00321428	1	1	0	4.22113e-11	88989.2
0.0302143	1	2	2	1.29123e-07	5.34057
0.0432143	1	1	2	4.22698e-13	891.204
0.0152143	2	2	0	0.00333333	7.02728e+12
0.00421428	1	1	0	4.22113e-11	88989.2
0.0302143	2	3	1	2.73664e-08	1.61115
0.0162143	1	1	0	0.00333333	7.02728e+12
0.0282143	2	5	1	0.00691353	1.16629e+06
0.0162143	2	2	0	0.00333333	7.02728e+12
0.0172143	1	1	0	0.00333333	7.02728e+12
0.00521428	1	1	0	4.22113e-11	88989.2
0.0302143	2	4	2	1.17333e-07	6.04923
0.0432143	1	2	3	4.22698e-13	891.204
0.0282143	2	6	3	0.0295529	3.07354e+07
0.0172143	2	2	0	0.00333333	7.02728e+12
0.0622143	1	1	1	1.35925e-07	2.86556e+08
0.00621428	1	1	0	4.22113e-11	88989.2
0.0432143	1	3	1	4.22698e-13	891.204
0.0302143	3	5	2	5.7693e-08	2.45217
0.0282143	3	7	2	0.0609386	7.849e+07
0.00721428	1	1	0	4.22113e-11	88989.2
0.0302143	3	6	1	1.02661e-07	9.56154
0.0182143	1	1	0	0.00333333	7.02728e+12
0.0182143	2	2	0	0.00333333	7.02728e+12
0.0532143	1	1	1	0.00333333	7.02728e+12
0.00821428	1	1	0	4.22113e-11	88989.2
0.0302143	4	7	1	5.58632e-08	4.86241
0.0192143	1	1	0	0.00333333	7.02728e+12
0.0282143	3	8	1	0.00055441	93672.3
0.0302143	4	8	2	3.62359e-08	1.65206
0.00921428	1	1	0	4.22113e-11	88989.2
0.0192143	2	2	0	0.00333333	7.02728e+12
0.0282143	3	9	3	0.00905964	9.82376e+06
0.0102143	1	1	0	4.22113e-11	88989.2
0.0202143	1	1	0	0.00333333	7.02728e+12
0.0302143	5	9	2	4.65211e-08	3.1381
0.0112143	1	1	0	4.22113e-11	88989.2
0.0282143	4	10	3	0.00414482	1.34617e+06
0.0302143	5	10	1	2.29818e-08	2.12464
0.0202143	2	2	0	0.00333333	7.02728e+12
0.0122143	1	1	0	4.22113e-11	88989.2
