% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
123	1	1	1	0	0	28	2196	0	1	1
123	2	2	1	0	0	28	2196	0	1	1
86	1	1	1	0	0	28	2196	0	1	1
78	1	1	1	0	0	28	2196	0	1	1
124	1	1	1	0	0	28	2196	0	1	1
124	2	2	1	0	0	28	2196	0	1	1
56	1	3	1	0	0	28	2196	0	1	1
87	1	1	1	0	0	28	2196	0	1	1
78	1	1	1	0	0	28	2196	0	1	1
79	1	1	1	0	0	28	2196	0	1	1
125	1	1	1	0	0	28	2196	0	1	1
125	2	2	1	0	0	28	2196	0	1	1
80	1	1	1	0	0	28	2196	0	1	1
88	1	1	1	0	0	28	2196	0	1	1
80	1	1	1	0	0	28	2196	0	1	1
57	1	1	2	0	0	28	2196	0	1	1
89	1	1	1	0	0	28	2196	0	1	1
81	1	1	1	0	0	28	2196	0	1	1
90	1	1	1	0	0	28	2196	0	1	1
82	1	1	1	0	0	28	2196	0	1	1
91	1	1	1	0	0	28	2196	0	1	1
58	1	2	3	0	0	28	2196	0	1	1
88	1	1	1	0	0	28	2196	0	1	1
34	1	2	2	0	0	12	597	0	1	1
34	2	4	2	0	0	14	775	0	1	1
34	3	6	1	0	0	14	775	0	1	1
34	4	7	1	0	0	12	597	0	1	1
90	1	1	1	0	0	28	2196	0	1	1
83	1	1	1	0	0	28	2196	0	1	1
34	5	10	1	0	0	8	421	0	1	1
92	1	1	1	0	0	28	2196	0	1	1
84	1	1	1	0	0	28	2196	0	1	1
59	1	3	1	0	0	28	2196	0	1	1
93	1	1	1	0	0	28	2196	0	1	1
85	1	1	1	0	0	28	2196	0	1	1
31	1	3	3	0	0	28	2196	0	1	1
31	2	6	3	0	0	28	2196	0	1	1
94	1	1	1	0	0	28	2196	0	1	1
31	3	9	3	0	0	28	2196	0	1	1
31	4	10	3	0	0	28	2196	0	1	1
31	5	15	3	0	0	28	2196	0	1	1
31	6	18	3	0	0	28	2196	0	1	1
86	1	1	1	0	0	28	2196	0	1	1
98	1	1	1	0	0	28	2196	0	1	1
95	1	1	1	0	0	28	2196	0	1	1
60	1	1	2	0	0	28	2196	0	1	1
87	1	1	1	0	0	28	2196	0	1	1
96	1	1	1	0	0	28	2196	0	1	1
88	1	1	1	0	0	28	2196	0	1	1
100	1	1	1	0	0	28	2196	0	1	1
89	1	1	1	0	0	28	2196	0	1	1
97	1	1	1	0	0	28	2196	0	1	1
61	1	2	3	0	0	28	2196	0	1	1
103	1	1	1	0	0	28	2196	0	1	1
98	1	1	1	0	0	28	2196	0	1	1
90	1	1	1	0	0	28	2196	0	1	1
99	1	1	1	0	0	28	2196	0	1	1
35	1	2	2	0	0	28	2196	1	0	0
62	1	3	1	0	0	28	2196	0	1	1
91	1	1	1	0	0	28	2196	0	1	1
35	2	4	2	0	0	28	2196	1	0	0
35	3	5	2	0	0	28	2196	1	0	0
35	4	8	2	0	0	28	2196	1	0	0
35	5	9	2	0	0	28	2196	1	0	0
108	2	1	1	0	0	0	81	0	1	1
100	1	1	1	0	0	28	2196	0	1	1
109	2	1	1	0	0	0	81	0	1	1
110	2	1	1	0	0	0	81	0	1	1
101	1	1	1	0	0	28	2196	0	1	1
92	1	1	1	0	0	28	2196	0	1	1
111	2	1	1	0	0	0	81	0	1	1
63	1	1	2	0	0	28	2196	0	1	1
102	1	1	1	0	0	28	2196	0	1	1
112	2	1	1	0	0	28	2196	0	1	1
93	1	1	1	0	0	28	2196	0	1	1
103	1	1	1	0	0	28	2196	0	1	1
94	1	1	1	0	0	28	2196	0	1	1
64	1	2	3	0	0	28	2196	0	1	1
