% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
123	1	1	1	0	28	2196	0	1
77	1	1	1	0	28	2196	0	1
34	2	4	2	0	14	775	0	1
123	2	2	1	0	28	2196	0	1
31	2	6	3	0	28	2196	0	1
56	1	3	1	0	28	2196	0	1
34	3	6	1	0	14	775	0	1
86	1	1	1	0	28	2196	0	1
31	3	9	3	0	28	2196	0	1
78	1	1	1	0	28	2196	0	1
124	1	1	1	0	28	2196	0	1
34	4	7	1	0	12	597	0	1
124	2	2	1	0	28	2196	0	1
34	5	10	1	0	8	421	0	1
87	1	1	1	0	28	2196	0	1
31	4	10	3	0	28	2196	0	1
79	1	1	1	0	28	2196	0	1
31	5	15	3	0	28	2196	0	1
125	1	1	1	0	28	2196	0	1
78	1	1	1	0	28	2196	0	1
57	1	1	2	0	28	2196	0	1
125	2	2	1	0	28	2196	0	1
31	6	18	3	0	28	2196	0	1
88	1	1	1	0	28	2196	0	1
80	1	1	1	0	28	2196	0	1
80	1	1	1	0	28	2196	0	1
89	1	1	1	0	28	2196	0	1
81	1	1	1	0	28	2196	0	1
58	1	2	3	0	28	2196	0	1
90	1	1	1	0	28	2196	0	1
82	1	1	1	0	28	2196	0	1
91	1	1	1	0	28	2196	0	1
88	1	1	1	0	28	2196	0	1
83	1	1	1	0	28	2196	0	1
92	1	1	1	0	28	2196	0	1
59	1	3	1	0	28	2196	0	1
90	1	1	1	0	28	2196	0	1
84	1	1	1	0	28	2196	0	1
93	1	1	1	0	28	2196	0	1
35	1	2	2	0	28	2196	1	0
35	2	4	2	0	28	2196	1	0
85	1	1	1	0	28	2196	0	1
60	1	1	2	0	28	2196	0	1
94	1	1	1	0	28	2196	0	1
35	3	5	2	0	28	2196	1	0
35	4	8	2	0	28	2196	1	0
86	1	1	1	0	28	2196	0	1
35	5	9	2	0	28	2196	1	0
95	1	1	1	0	28	2196	0	1
98	1	1	1	0	28	2196	0	1
87	1	1	1	0	28	2196	0	1
96	1	1	1	0	28	2196	0	1
61	1	2	3	0	28	2196	0	1
88	1	1	1	0	28	2196	0	1
32	1	1	1	0	28	2196	0	1
100	1	1	1	0	28	2196	0	1
32	2	5	1	0	28	2196	0	1
97	1	1	1	0	28	2196	0	1
89	1	1	1	0	28	2196	0	1
32	3	8	1	0	28	2196	0	1
103	1	1	1	0	28	2196	0	1
90	1	1	1	0	28	2196	0	1
32	4	12	1	0	28	2196	0	1
