% time	cellId	Interference
0.0329286	1	5.91251e-20 5.91251e-20 5.91251e-20 5.91251e-20 5.91251e-20 5.91251e-20 5.91251e-20 5.91251e-20 9.51782e-20 9.51782e-20 9.51782e-20 9.51782e-20 9.51782e-20 9.51782e-20 9.51782e-20 9.51782e-20 1.00318e-18 1.00318e-18 1.00318e-18 1.00318e-18 1.00318e-18 1.00318e-18 1.00318e-18 1.00318e-18 1.25893e-20 
0.0959286	1	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.117929	2	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.105929	1	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.0369286	1	9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 9.85585e-18 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.65992e-17 1.25893e-20 
0.0659286	1	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.0369286	2	9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 9.32252e-18 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.60066e-17 1.25893e-20 
0.0329286	2	2.08099e-20 2.08099e-20 2.08099e-20 2.08099e-20 2.08099e-20 2.08099e-20 2.08099e-20 2.08099e-20 3.24265e-20 3.24265e-20 3.24265e-20 3.24265e-20 3.24265e-20 3.24265e-20 3.24265e-20 3.24265e-20 1.98856e-20 1.98856e-20 1.98856e-20 1.98856e-20 1.98856e-20 1.98856e-20 1.98856e-20 1.98856e-20 1.25893e-20 
0.0369286	3	1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 1.3992e-17 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 4.90852e-18 1.25893e-20 
0.0969286	1	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
