% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.115	1	1	12	6	1	28	2292
0.03	4	12	4	1	1	0	26
0.048	6	23	5	9	2	2	41
0.03	4	11	4	1	2	0	26
0.115	2	2	12	6	1	28	2292
0.144	2	2	15	5	1	22	1431
0.048	6	13	5	9	3	4	69
0.03	4	10	4	1	3	0	26
0.053	1	1	6	4	1	28	2292
0.033	2	3	4	4	1	6	153
0.033	2	4	4	4	2	4	105
0.048	7	11	5	9	1	6	101
0.03	5	13	4	1	1	0	26
0.145	1	1	15	6	1	22	1431
0.07	1	1	8	1	1	28	2292
0.048	7	9	5	9	2	16	309
0.03	5	14	4	1	2	0	26
0.116	1	1	12	7	1	28	2292
0.116	2	2	12	7	1	28	2292
0.048	7	10	5	9	3	12	201
0.03	5	15	4	1	3	0	26
0.145	2	2	15	6	1	22	1431
0.079	1	1	8	10	1	28	2292
0.033	3	6	4	4	1	4	105
0.033	3	5	4	4	2	8	209
0.117	1	1	12	8	1	28	2292
0.048	8	20	5	9	1	10	501
0.117	2	2	12	8	1	28	2292
0.03	6	16	4	1	1	0	26
0.146	1	1	15	7	1	22	1431
0.03	6	17	4	1	2	0	26
0.033	4	7	4	4	1	6	153
0.033	4	8	4	4	2	6	153
0.048	9	6	5	9	1	2	41
0.03	6	18	4	1	3	0	26
0.071	1	1	8	2	1	28	2292
0.146	2	2	15	7	1	22	1431
0.033	5	10	4	4	1	6	153
0.033	5	9	4	4	2	6	153
0.053	1	3	6	4	1	28	749
0.048	10	1	5	9	1	18	999
0.053	1	1	6	4	2	28	749
0.08	1	1	9	1	1	28	2292
0.147	1	1	15	8	1	22	1431
0.053	1	2	6	4	3	28	749
0.048	11	2	5	9	1	12	621
0.147	2	2	15	8	1	22	1431
0.048	12	3	5	9	1	28	2292
0.072	1	1	8	3	1	28	2292
0.148	1	1	15	9	1	22	1431
0.048	13	4	5	9	1	28	2292
0.148	2	2	15	9	1	22	1431
0.061	1	1	7	2	1	28	2292
0.081	1	1	9	2	1	28	2292
0.149	1	1	15	10	1	22	1431
0.063	1	1	7	4	1	28	2292
0.149	2	2	15	10	1	22	1431
0.073	1	1	8	4	1	28	2292
0.15	1	1	16	1	1	22	1431
0.054	1	3	6	5	1	28	749
0.054	1	1	6	5	2	28	749
0.054	1	2	6	5	3	28	749
0.15	2	2	16	1	1	22	1431
0.082	1	1	9	3	1	28	2292
0.049	1	22	5	10	1	4	105
0.074	1	1	8	5	1	28	2292
0.049	1	18	5	10	2	2	65
0.151	1	1	16	2	1	22	1431
0.049	2	15	5	10	1	4	105
0.049	2	14	5	10	2	8	209
0.151	2	2	16	2	1	22	1431
0.083	1	1	9	4	1	28	2292
0.069	1	1	7	10	1	28	2292
0.049	3	17	5	10	1	14	389
0.075	1	1	8	6	1	28	2292
0.049	3	16	5	10	2	6	153
0.152	1	1	16	3	1	22	1431
0.152	2	2	16	3	1	22	1431
0.049	6	7	5	10	1	8	137
0.055	1	3	6	6	1	28	749
0.049	6	23	5	10	2	2	41
0.055	1	1	6	6	2	28	749
0.07	1	1	8	1	1	28	2292
0.153	1	1	16	4	1	22	1431
0.084	1	1	9	5	1	28	2292
0.049	6	13	5	10	3	4	69
0.055	1	2	6	6	3	28	749
0.153	2	2	16	4	1	22	1431
0.049	7	11	5	10	1	6	101
0.076	1	1	8	7	1	28	2292
0.071	1	1	8	2	1	28	2292
0.049	7	9	5	10	2	16	309
0.049	7	10	5	10	3	12	201
0.154	1	1	16	5	1	22	1431
0.154	2	2	16	5	1	22	1431
0.049	8	20	5	10	1	10	501
0.034	1	1	4	5	1	6	153
0.031	1	1	4	2	1	0	26
0.031	1	2	4	2	2	0	26
0.085	1	1	9	6	1	28	2292
0.034	1	2	4	5	2	4	105
0.031	1	3	4	2	3	0	26
0.049	9	6	5	10	1	2	41
0.155	1	1	16	6	1	22	1431
0.073	1	1	8	4	1	28	2292
0.077	1	1	8	8	1	28	2292
0.034	2	3	4	5	1	6	153
0.049	10	1	5	10	1	18	999
0.031	2	5	4	2	1	0	26
0.034	2	4	4	5	2	4	105
0.155	2	2	16	6	1	22	1431
0.049	11	2	5	10	1	12	621
0.031	2	4	4	2	2	0	26
0.056	1	3	6	7	1	28	749
0.031	2	6	4	2	3	0	26
0.034	3	6	4	5	1	4	105
0.056	1	1	6	7	2	28	749
0.049	12	3	5	10	1	28	2292
0.086	1	1	9	7	1	28	2292
0.034	3	5	4	5	2	8	209
0.056	1	2	6	7	3	28	749
0.156	1	1	16	7	1	22	1431
0.078	1	1	8	9	1	28	2292
0.031	3	8	4	2	1	0	26
0.049	13	4	5	10	1	28	2292
